url,Artist,Country,PtsPoints,R/O,RankRanking,broadcaster,composers,contest_id,final_type,id,song,writers
/participant/paradise-oskar,Paradise Oskar,Finland,57,01,21,YLE,Axel Ehnström,888687e1-8da0-3d6c-ab5a-ded1f7e9ac21,grand final,e90f3b8c-8cba-35ff-930c-41977a2477f4,Da Da Dam,Axel Ehnström
/participant/dino-merlin,Dino Merlin,Bosnia & Herzegovina,125,02,6,BHRT,Dino Merlin,888687e1-8da0-3d6c-ab5a-ded1f7e9ac21,grand final,bd1db97e-0e93-333b-950f-91819d9fc1cb,Love In Rewind,Dino Merlin
/participant/a-friend-in-london,A Friend In London,Denmark,134,03,5,DR,Lise Cabble & Jakob Schack Glæsner,888687e1-8da0-3d6c-ab5a-ded1f7e9ac21,grand final,2759c7c8-7e26-3918-891f-3c5cc9b69030,New Tomorrow,Lise Cabble & Jakob Schack Glæsner
/participant/evelina-sasenko,Evelina Sašenko,Lithuania,63,04,19,LRT,Paulius Zdanavičius,888687e1-8da0-3d6c-ab5a-ded1f7e9ac21,grand final,a121c2cc-0cb6-36de-9ea4-9a2aff855949,C'est Ma Vie,Andrius Kairys
/participant/kati-wolf,Kati Wolf,Hungary,53,05,22,MTV,"Viktor Rakonczai, Gergő Rácz",888687e1-8da0-3d6c-ab5a-ded1f7e9ac21,grand final,6c96e8b0-c23d-3fde-88a6-0d9f8d0d748d,What About My Dreams?,"Péter Geszti, Johnny K. Palmer"
/participant/jedward,Jedward,Ireland,119,06,8,RTÉ,"Daniel Priddy, Lars Halvor Jensen, Martin Michael Larsson",888687e1-8da0-3d6c-ab5a-ded1f7e9ac21,grand final,117e2f6e-f984-3e6c-af58-7324c1174c6a,Lipstick,"Daniel Priddy, Lars Halvor Jensen, Martin Michael Larsson"
/participant/eric-saade,Eric Saade,Sweden,185,07,3,SVT,Fredrik Kempe,888687e1-8da0-3d6c-ab5a-ded1f7e9ac21,grand final,c4ace612-279e-3ab0-884e-2dabee31421a,Popular,Fredrik Kempe
/participant/getter-jaani,Getter Jaani,Estonia,44,08,24,ERR,Sven Lõhmus,888687e1-8da0-3d6c-ab5a-ded1f7e9ac21,grand final,77fa0fe1-ae22-396f-baa7-d078ee0f61dc,Rockefeller Street,Sven Lõhmus
/participant/loucas-yiorkas-feat-stereo-mike,Loucas Yiorkas feat. Stereo Mike,Greece,120,09,7,ERT,Giannis Christodoulopoulos,888687e1-8da0-3d6c-ab5a-ded1f7e9ac21,grand final,45700b30-3520-3729-ba3f-39f8b39ec45d,Watch My Dance,Eleana Vrachali
/participant/alexej-vorobjov,Alexej Vorobjov,Russia,77,10,16,C1R,"Alexej Vorobjov, RedOne, AJ Junior, Bilal ""The Chef"", Eric Sanicola",888687e1-8da0-3d6c-ab5a-ded1f7e9ac21,grand final,2d277bee-ca39-3df5-b0c4-b8b3ee4de3d8,Get You,"Alexej Vorobjov, RedOne, AJ Junior, Bilal ""The Chef"", Eric Sanicola"
/participant/amaury-vassili,Amaury Vassili,France,82,11,15,France 3,"Daniel Moyne, Quentin Bachelet",888687e1-8da0-3d6c-ab5a-ded1f7e9ac21,grand final,a2b5269b-3f01-3d9a-83ae-ee622f669295,Sognu,"Jean-Pierre Marcellesi, Julie Miller"
/participant/raphael-gualazzi,Raphael Gualazzi,Italy,189,12,2,RAI,Raffaele Gualazzi,888687e1-8da0-3d6c-ab5a-ded1f7e9ac21,grand final,1d659f47-91f4-338c-8a12-7bfb5537a6cd,Madness Of Love,Raffaele Gualazzi
/participant/anna-rossinelli,Anna Rossinelli,Switzerland,19,13,25,SRG SSR idée suisse,David Klein,888687e1-8da0-3d6c-ab5a-ded1f7e9ac21,grand final,7bf2d5e7-ef8a-39f7-948b-4745902a0bc2,In Love For A While,David Klein
/participant/blue,Blue,United Kingdom,100,14,11,BBC,"Ciaron Bell, Ben Collier, Ian Hope, Duncan James, Liam Keenan, Lee Ryan, StarSign",888687e1-8da0-3d6c-ab5a-ded1f7e9ac21,grand final,43072a22-4abb-3fce-a2ec-bf0c35bf6ef5,I Can,"Ciaron Bell, Ben Collier, Ian Hope, Duncan James, Liam Keenan, Lee Ryan, StarSign"
/participant/zdob-si-zdub-1,Zdob și Zdub,Moldova,97,15,12,TRM,"Mihai Gincu, Marc Elsner",888687e1-8da0-3d6c-ab5a-ded1f7e9ac21,grand final,ee2a2fc0-68cc-32f4-8ee2-8077dfe4c505,So Lucky,"Andy Schuman, Marc Elsner"
/participant/lena-1,Lena,Germany,107,16,10,NDR,"Gus Seyffert, Nicole Morier, Monica Birkenes",888687e1-8da0-3d6c-ab5a-ded1f7e9ac21,grand final,031c316d-3676-3d06-a4a9-3e639878e711,Taken By A Stranger,"Gus Seyffert, Nicole Morier, Monica Birkenes"
/participant/hotel-fm,Hotel FM,Romania,77,17,17,TVR,Gabriel Băruţa,888687e1-8da0-3d6c-ab5a-ded1f7e9ac21,grand final,41063b33-3a2c-3196-915a-ec6de47d3e33,Change,"Alexandra Ivan, Gabriel Băruţa"
/participant/nadine-beiler,Nadine Beiler,Austria,64,18,18,ORF,Thomas Rabitsch,888687e1-8da0-3d6c-ab5a-ded1f7e9ac21,grand final,432e3407-bb69-3dc1-8c45-401c0d9f45b7,The Secret Is Love,Nadine Beiler
/participant/ell-nikki,Ell/Nikki,Azerbaijan,221,19,1,İctimai,"Stefan Örn (Razor Boy Music Publishing Sweden), Sandra Bjurman, Iain James Farquharson (Sony / ATV UK)",888687e1-8da0-3d6c-ab5a-ded1f7e9ac21,grand final,d1af1a22-29df-3296-896e-7a68b8b7cc69,Running Scared,"Stefan Örn (Razor Boy Music Publishing Sweden), Sandra Bjurman"
/participant/maja-keuc,Maja Keuc,Slovenia,96,20,13,RTVSLO,Matjaž Vlašič,888687e1-8da0-3d6c-ab5a-ded1f7e9ac21,grand final,0f6efdda-1d18-385b-aa1d-cfe0e41cfe45,No One,Urša Vlašič
/participant/sjonni-s-friends,Sjonni's Friends,Iceland,61,21,20,RÚV,Sjonni Brink,888687e1-8da0-3d6c-ab5a-ded1f7e9ac21,grand final,c3db68e6-2be8-304d-8609-c1eece5f54ca,Coming Home,Thorunn Clausen and Sjonni Brink
/participant/lucia-perez,Lucía Pérez,Spain,50,22,23,TVE,Rafael Artesero,888687e1-8da0-3d6c-ab5a-ded1f7e9ac21,grand final,c464f24e-2177-315b-9a99-daa902c449a4,Que Me Quiten Lo Bailao  -  They Can't Take The Fun Away From Me,Rafael Artesero
/participant/mika-newton,Mika Newton,Ukraine,159,23,4,NTU,Ruslan Kvinta,888687e1-8da0-3d6c-ab5a-ded1f7e9ac21,grand final,839597ff-4aa6-3bc3-b4db-e19af2e7c533,Angel,Maryna Skomorohova
/participant/nina-1,Nina,Serbia,85,24,14,RTS,Kristina Kovač,888687e1-8da0-3d6c-ab5a-ded1f7e9ac21,grand final,0d55c465-3ff6-3ef5-8498-1bc4b8d5bc43,Čaroban,Kristina Kovač
/participant/eldrine,Eldrine,Georgia,110,25,9,GPB,DJ BE$$,888687e1-8da0-3d6c-ab5a-ded1f7e9ac21,grand final,88d8a0ec-41e2-322c-a5c9-3ba4658fbd6f,One More Day,"DJ Rock, Mikheil Chelidze"
/participant/safura,Safura,Azerbaijan,145,01,5,İctimai,"Anders Bagge, Stefan Örn",459089e7-dc8b-3af3-816c-e195d8a63533,grand final,ad3b5e3f-594e-366a-9286-d6ce58f5fdb7,Drip Drop,Sandra Bjurman
/participant/daniel-diges,Daniel Diges,Spain,68,02,15,TVE,"Jesús Cañadilla, Luis Miguel de la Varga, Alberto Jodar, Daniel Diges",459089e7-dc8b-3af3-816c-e195d8a63533,grand final,c1637159-8401-3b80-b94c-ef0567eff292,Algo Pequeñito (Something Tiny),"Jesús Cañadilla, Luis Miguel de la Varga, Alberto Jodar, Daniel Diges"
/participant/didrik-solli-tangen,Didrik Solli-Tangen,Norway,35,03,20,NRK,Hanne Sørvaag & Fredrik Kempe,459089e7-dc8b-3af3-816c-e195d8a63533,grand final,f636169d-50ef-3f3a-9ba4-3ed4ded87eaa,My Heart Is Yours,Hanne Sørvaag & Fredrik Kempe
/participant/sunstroke-project-olia-tira,Sunstroke Project & Olia Tira,Moldova,27,04,22,TRM,Anton Ragoza & Sergey Stepanov,459089e7-dc8b-3af3-816c-e195d8a63533,grand final,52fbf5d1-2b86-368a-8686-136ee25e306b,Run Away,Alina Galetskaya
/participant/jon-lilygreen-the-islanders,Jon Lilygreen & The Islanders,Cyprus,27,05,21,CyBC,"Nasos Lambrianides, Melis Konstantinou",459089e7-dc8b-3af3-816c-e195d8a63533,grand final,56d9e43b-e993-3515-82e3-0b05a7f82bca,Life Looks Better In Spring,Nasos Lambrianides
/participant/vukasin-brajic,Vukašin Brajić,Bosnia & Herzegovina,51,06,17,BHRT,Dino Šaran,459089e7-dc8b-3af3-816c-e195d8a63533,grand final,8b13d062-7b92-33fc-abb9-176702d894c4,Thunder And Lightning,Dino Šaran
/participant/tom-dice,Tom Dice,Belgium,143,07,6,VRT,"Tom Dice, Jeroen Swinnen & Ashley Hicklin",459089e7-dc8b-3af3-816c-e195d8a63533,grand final,249523a7-0f01-3b55-bc99-e2b70068dfae,Me And My Guitar,"Tom Dice, Jeroen Swinnen & Ashley Hicklin"
/participant/milan-stankovic,Milan Stanković,Serbia,72,08,13,RTS,Goran Bregović,459089e7-dc8b-3af3-816c-e195d8a63533,grand final,4b986679-8f48-3a76-9be8-3df190668943,Ovo Je Balkan,"Goran Bregović, Marina Tucaković & Ljiljana Jorgovanović"
/participant/3-2,3+2,Belarus,18,09,24,BTRC,Maxim Fadeev,459089e7-dc8b-3af3-816c-e195d8a63533,grand final,bee3c153-ed29-3b71-8756-65bbccb7fc10,Butterflies,Malka Chaplin
/participant/niamh-kavanagh-1,Niamh Kavanagh,Ireland,25,10,23,RTÉ,"Niall Mooney, Mårten Eriksson, Jonas Gladnikoff & Lina Eriksson",459089e7-dc8b-3af3-816c-e195d8a63533,grand final,3a2a9ba2-5bce-3f53-86cb-0028c85e4b4d,It's For You,"Niall Mooney, Mårten Eriksson, Jonas Gladnikoff & Lina Eriksson"
/participant/giorgos-alkaios-friends,Giorgos Alkaios & Friends,Greece,140,11,8,ERT,Giorgos Alkaios,459089e7-dc8b-3af3-816c-e195d8a63533,grand final,41a0fedb-34b9-3555-aaab-44486faa1beb,OPA,Giannis Antoniou & Friends
/participant/josh,Josh,United Kingdom,10,12,25,BBC,"Pete Waterman, Mike Stock, Steve Crosby",459089e7-dc8b-3af3-816c-e195d8a63533,grand final,ab161d89-eaca-3818-86a3-5f3b3e1ae673,That Sounds Good To Me,"Pete Waterman, Mike Stock, Steve Crosby"
/participant/sofia-nizharadze,Sofia Nizharadze ,Georgia,136,13,9,GPB,"Hanne Sorvaag, Harry Sommerdahl & Christian Leuzzi",459089e7-dc8b-3af3-816c-e195d8a63533,grand final,bdeafe91-89b0-3c94-9a4c-7dd18f6956ba,Shine,"Hanne Sorvaag, Harry Sommerdahl & Christian Leuzzi"
/participant/manga,maNga,Turkey,170,14,2,TRT,maNga,459089e7-dc8b-3af3-816c-e195d8a63533,grand final,0930bb66-c19e-3fdd-ad52-c921cde1a7dd,We Could Be The Same,"Evren Özdemir, maNga, Fiona Movery Akıncı"
/participant/juliana-pasha,Juliana Pasha,Albania,62,15,16,RTSH,Ardit Gjebrea,459089e7-dc8b-3af3-816c-e195d8a63533,grand final,346fdfd6-9846-39ad-bba8-6a702ba8c657,It's All About You,Ardit Gjebrea & Pirro Çako
/participant/hera-bjoerk,Hera Björk,Iceland,41,16,19,RÚV,Örlygur Smári & Hera Björk,459089e7-dc8b-3af3-816c-e195d8a63533,grand final,a01b2160-a967-347a-ab77-e4b7c76b8b76,Je Ne Sais Quoi,Örlygur Smári & Hera Björk
/participant/alyosha,Alyosha,Ukraine,108,17,10,NTU,"Olena Kucher, Borys Kukoba & Vadim Lisitsa",459089e7-dc8b-3af3-816c-e195d8a63533,grand final,09852b22-65c8-35fd-8848-4a7f3ca7f755,Sweet People,Olena Kucher
/participant/jessy-matador,Jessy Matador,France,82,18,12,France 3,H.Ducamin & J.Ballue,459089e7-dc8b-3af3-816c-e195d8a63533,grand final,040296eb-ba54-3aa9-98d3-dfa361aed4c9,Allez Olla Olé,H.Ducamin & J.Ballue
/participant/paula-seling-ovi,Paula Seling & Ovi,Romania,162,19,3,TVR,Ovidiu Cernăuțeanu,459089e7-dc8b-3af3-816c-e195d8a63533,grand final,44f8af4f-9bad-3896-b276-aacabe055e6f,Playing With Fire,Ovidiu Cernăuțeanu
/participant/peter-nalitch-friends,Peter Nalitch & Friends,Russia,90,20,11,RTR,Peter Nalitch,459089e7-dc8b-3af3-816c-e195d8a63533,grand final,2149b46d-f02e-3c80-86b4-2c687da8a3a8,Lost And Forgotten,Peter Nalitch
/participant/eva-rivas,Eva Rivas,Armenia,141,21,7,AMPTV,Armen Martirosyan,459089e7-dc8b-3af3-816c-e195d8a63533,grand final,b6473a53-a5fd-3a7a-b952-5dc6031f0886,Apricot Stone,Karen Kavaleryan
/participant/lena,Lena,Germany,246,22,1,NDR,Julie Frost & John Gordon,459089e7-dc8b-3af3-816c-e195d8a63533,grand final,e0dd6b93-2ba2-3e1c-930c-987290e067eb,Satellite,Julie Frost
/participant/filipa-azevedo,Filipa Azevedo,Portugal,43,23,18,RTP,Augusto Madureira,459089e7-dc8b-3af3-816c-e195d8a63533,grand final,d7acea0a-9d25-30de-8f85-7bbafaed472a,Há Dias Assim,Augusto Madureira
/participant/harel-skaat,Harel Skaat,Israel,71,24,14,IBA,Tomer Adaddi,459089e7-dc8b-3af3-816c-e195d8a63533,grand final,d9569ccc-4727-3c38-9e7b-5570aff9a1df,Milim,Noam Horev
/participant/chanee-n-evergreen,Chanée & N'evergreen,Denmark,149,25,4,DR,"Thomas G:son, Henrik Sethsson & Erik Bernholm",459089e7-dc8b-3af3-816c-e195d8a63533,grand final,46a626a1-c300-3ccb-ad54-b396cb1b3f4e,In A Moment Like This,"Thomas G:son, Henrik Sethsson & Erik Bernholm"
/participant/sasha-son,Sasha Son,Lithuania,23,01,23,LRT,Dmitrij Šavrov (Sasha Son),fa0099a0-6a5e-3a2e-913f-5e19be93c801,grand final,7e5b71a2-707f-333b-83b4-70ee3bec41d9,Love,Dmitrij Šavrov (Sasha Son)
/participant/noa-mira-awad,Noa & Mira Awad,Israel,53,02,16,IBA,"Noa, Mira Awad, Gil Dor",fa0099a0-6a5e-3a2e-913f-5e19be93c801,grand final,8e9ecf71-b129-39d8-aa44-7c75e8aaf07f,There Must Be Another Way,"Noa, Mira Awad, Gil Dor"
/participant/patricia-kaas,Patricia Kaas,France,107,03,8,France 3,Fred Blondin,fa0099a0-6a5e-3a2e-913f-5e19be93c801,grand final,9beca6e4-6713-3d77-a0b3-baecec781dfb,Et S'il Fallait Le Faire,Anse Lazio
/participant/malena-ernman,Malena Ernman,Sweden,33,04,21,SVT,Fredrik Kempe,fa0099a0-6a5e-3a2e-913f-5e19be93c801,grand final,08de7f2d-f5df-37e5-ba88-802da120ed3c,La Voix,Fredrik Kempe and Malena Ernman
/participant/igor-cukrov-feat-andrea,Igor Cukrov feat. Andrea,Croatia,45,05,18,HRT,Tonči Huljić,fa0099a0-6a5e-3a2e-913f-5e19be93c801,grand final,1c602809-9cdc-3ab3-b8cd-67df19f4cbbb,Lijepa Tena,Vjekoslava Huljić
/participant/flor-de-lis,Flor-de-lis,Portugal,57,06,15,RTP,"Pedro Marques, Paulo Pereira",fa0099a0-6a5e-3a2e-913f-5e19be93c801,grand final,d8d90da7-f41f-3367-b164-f767ea52047c,Todas As Ruas Do Amor,Pedro Marques
/participant/yohanna,Yohanna,Iceland,218,07,2,RÚV,"Óskar Páll Sveinsson, Chris Neil, Tinatin Japaridze",fa0099a0-6a5e-3a2e-913f-5e19be93c801,grand final,8e45dbf5-1140-328c-89bb-3b4f3cdd3847,Is It True?,"Óskar Páll Sveinsson, Chris Neil, Tinatin Japaridze"
/participant/sakis-rouvas-1,Sakis Rouvas,Greece,120,08,7,ERT,Dimitris Kontopoulos,fa0099a0-6a5e-3a2e-913f-5e19be93c801,grand final,103a0d9d-4c1c-3cd9-be62-7b6ab2a47275,This Is Our Night,Graig Porteils & Cameron Giles-Webb
/participant/inga-anush,Inga & Anush,Armenia,92,09,10,AMPTV,Mane Hakobyan,fa0099a0-6a5e-3a2e-913f-5e19be93c801,grand final,3206c535-d1a3-33bd-9767-111ef6357348,Jan Jan,Vardan Zadoyan & Avet Barseghyan
/participant/anastasia-prikhodko,Anastasia Prikhodko,Russia,91,10,11,C1R,Konstantin Meladzé,fa0099a0-6a5e-3a2e-913f-5e19be93c801,grand final,f10ee160-0845-3eda-8da4-c1a008981fab,Mamo,"Konstantin Meladzé, Diana Golde"
/participant/aysel-arash,AySel & Arash,Azerbaijan,207,11,3,İctimai,"Arash Labaf, Robert Uhlmann, Johan Bejerholm, Marcus Englof, Alex Papaconstantinou",fa0099a0-6a5e-3a2e-913f-5e19be93c801,grand final,234325ab-31be-333c-807f-16106dfd6dc4,Always,"Arash Labaf, Robert Uhlmann, Elin Wrethov, Anderz Wrethov"
/participant/regina-1,Regina,Bosnia & Herzegovina,106,12,9,BHRT,Aleksandar Čović,fa0099a0-6a5e-3a2e-913f-5e19be93c801,grand final,d983d699-fe69-3fab-bdd2-369a7c32210e,Bistra Voda,Aleksandar Čović
/participant/nelly-ciobanu,Nelly Ciobanu,Moldova,69,13,14,TRM,Veaceslav Daniliuc,fa0099a0-6a5e-3a2e-913f-5e19be93c801,grand final,02813cde-ca19-3d02-8f95-94c1ea053eaa,Hora Din Moldova,Nelly Ciobanu
/participant/chiara-2,Chiara,Malta,31,14,22,PBS,Marc Paelinck,fa0099a0-6a5e-3a2e-913f-5e19be93c801,grand final,336a15bc-004e-3b72-a1ef-c81d954873c0,What If We,Gregory Bilsen
/participant/urban-symphony,Urban Symphony,Estonia,129,15,6,ERR,Sven Lõhmus,fa0099a0-6a5e-3a2e-913f-5e19be93c801,grand final,78607be2-28a5-3fb2-b790-9b9e74cf3232,Rändajad,Sven Lõhmus
/participant/brinck,Brinck,Denmark,74,16,13,DR,"Lars Halvor Jensen, Martin Michael Larsson, Ronan Keating",fa0099a0-6a5e-3a2e-913f-5e19be93c801,grand final,b9fc7a4b-ee32-32d0-b509-de4ef2f09457,Believe Again,"Lars Halvor Jensen, Martin Michael Larsson, Ronan Keating"
/participant/alex-swings-oscar-sings,Alex Swings Oscar Sings!,Germany,35,17,20,NDR,"Alex Christensen, Steffen Haefeliger",fa0099a0-6a5e-3a2e-913f-5e19be93c801,grand final,dc90da32-3997-3939-8e71-8cb561dfa171,Miss Kiss Kiss Bang,"Alex Christensen, Steffen Haefeliger"
/participant/hadise,Hadise,Turkey,177,18,4,TRT,Sinan Akçıl,fa0099a0-6a5e-3a2e-913f-5e19be93c801,grand final,2e1f1ab0-d8f0-30c7-9f88-3ee9adc75b1c,Düm Tek Tek,"Sinan Akçıl, Hadise Açıkgöz, Stefaan Fernande"
/participant/kejsi-tola,Kejsi Tola,Albania,48,19,17,RTSH,Edmond Zhulali,fa0099a0-6a5e-3a2e-913f-5e19be93c801,grand final,10435a1f-7545-30d3-8666-f61df125340c,Carry Me In Your Dreams,Agim Doçi
/participant/alexander-rybak,Alexander Rybak,Norway,387,20,1,NRK,Alexander Rybak,fa0099a0-6a5e-3a2e-913f-5e19be93c801,grand final,620f102a-1c19-3b3b-aab6-a34d043edadf,Fairytale,Alexander Rybak
/participant/svetlana-loboda,Svetlana Loboda,Ukraine,76,21,12,NTU,Svetlana Loboda,fa0099a0-6a5e-3a2e-913f-5e19be93c801,grand final,59977ddf-fa13-3a74-b03e-4bbc25188689,Be my Valentine! (Anti-crisis Girl),Yevgeny Matyushenko
/participant/elena,Elena,Romania,40,22,19,TVR,"Laurenţiu Duţă, Ovidiu Bistriceanu, Daris Mangal",fa0099a0-6a5e-3a2e-913f-5e19be93c801,grand final,84d09ba8-d7a3-347d-9107-f8bd83c5f559,The Balkan Girls,"Laurenţiu Duţă, Alexandru Pelin"
/participant/jade-ewen,Jade Ewen,United Kingdom,173,23,5,BBC,Andrew Lloyd Webber and Diane Warren,fa0099a0-6a5e-3a2e-913f-5e19be93c801,grand final,2e15653a-cf6f-362c-b6be-ddf28b8edc84,It's My Time,Andrew Lloyd Webber and Diane Warren
/participant/waldo-s-people,Waldo's People,Finland,22,24,25,YLE,"A. Lehtonen, Karima",fa0099a0-6a5e-3a2e-913f-5e19be93c801,grand final,9657d80d-f366-3740-95af-9a4fbce79beb,Lose Control,"Waldo, A. Lehtonen, Karima, A. Kratz Gutå"
/participant/soraya,Soraya,Spain,23,25,24,TVE,"Jason Gill, Dimitri Stassos, Irini Michas",fa0099a0-6a5e-3a2e-913f-5e19be93c801,grand final,edb9ace5-03f9-33e3-beba-cba83e07fff0,La Noche Es Para Mí (The Night Is For Me),Felipe Pedroso
/participant/nico-vlad,Nico & Vlad,Romania,45,01,20,TVR,Andrei Tudor,3386bb65-1d86-31f7-aa56-3de20c8e24f8,grand final,855ec033-14d7-3c16-8a34-af1aca0cdbdd,Pe-o Margine De Lume,Andreea Andrei & Adina Şuteu
/participant/andy-abraham,Andy Abraham,United Kingdom,14,02,25,BBC,"Andy Abraham, Andy Watkins & Paul Wilson",3386bb65-1d86-31f7-aa56-3de20c8e24f8,grand final,72edff93-b2e5-3505-83bc-1a5e9ee778b8,Even If,"Andy Abraham, Andy Watkins & Paul Wilson"
/participant/olta-boka,Olta Boka,Albania,55,03,17,RTSH,Adrian Hila,3386bb65-1d86-31f7-aa56-3de20c8e24f8,grand final,65d09795-c7fc-307e-83f2-6e1fc0ff97ca,Zemrën E Lamë Peng,Pandi Laço
/participant/no-angels,No Angels,Germany,14,04,23,NDR,"Remee, Hanne Sorvaag & Thomas Troelsen",3386bb65-1d86-31f7-aa56-3de20c8e24f8,grand final,304e8680-121f-32ad-8d38-a4ce8f2ca4ff,Disappear,"Remee, Hanne Sorvaag & Thomas Troelsen"
/participant/sirusho,Sirusho,Armenia,199,05,4,AMPTV,H.A. Der-Hovagimian,3386bb65-1d86-31f7-aa56-3de20c8e24f8,grand final,379c3676-de17-3e41-a1b9-f66942c3e42d,"Qele, Qele",Sirusho
/participant/laka,Laka,Bosnia & Herzegovina,110,06,10,BHRT,Elvir Lakovic Laka,3386bb65-1d86-31f7-aa56-3de20c8e24f8,grand final,86d6e9b6-8687-3824-aac4-03e8f228d439,Pokušaj,Elvir Lakovic Laka
/participant/boaz,Boaz,Israel,124,07,9,IBA,Dana International,3386bb65-1d86-31f7-aa56-3de20c8e24f8,grand final,307a7a14-d40a-3849-a8cb-dd92fb3bf7ec,The Fire In Your Eyes,Dana International & Shai Kerem
/participant/teraesbetoni,Teräsbetoni,Finland,35,08,22,YLE,J. Ahola,3386bb65-1d86-31f7-aa56-3de20c8e24f8,grand final,58822334-4ca8-3198-a6d7-56431fb536c5,Missä Miehet Ratsastaa,J. Ahola
/participant/kraljevi-ulice-75-cents,Kraljevi Ulice & 75 Cents,Croatia,44,09,21,HRT,Miran Hadži Veljković,3386bb65-1d86-31f7-aa56-3de20c8e24f8,grand final,83e113cf-06b9-3fa3-95e4-0a1b15c96711,Romanca,Miran Hadži Veljković
/participant/isis-gee,Isis Gee,Poland,14,10,24,TVP,Isis Gee,3386bb65-1d86-31f7-aa56-3de20c8e24f8,grand final,7db44ca4-c935-35bd-9179-c6cad379a99d,For Life,Isis Gee
/participant/euroband,Euroband,Iceland,64,11,14,RÚV,Örlygur Smári,3386bb65-1d86-31f7-aa56-3de20c8e24f8,grand final,79c0563a-a20f-3d05-a712-a038e25efb35,This Is My Life,Paul Oscar & Peter Fenner
/participant/mor-ve-oetesi,Mor ve Ötesi,Turkey,138,12,7,TRT,Mor ve Ötesi,3386bb65-1d86-31f7-aa56-3de20c8e24f8,grand final,76ceab50-f181-3e99-ab33-2d90653a563c,Deli,Mor ve Ötesi
/participant/vania-fernandes,Vânia Fernandes,Portugal,69,13,13,RTP,Andrej Babić,3386bb65-1d86-31f7-aa56-3de20c8e24f8,grand final,7f9413da-129c-33e5-a1e5-4195f5d0f597,Senhora Do Mar (Negras Águas),Carlos Coelho
/participant/pirates-of-the-sea,Pirates Of The Sea,Latvia,83,14,12,LTV,Jonas Liberg/Johan Sahlen/Claes Andreasson/Torbjorn Wassenius,3386bb65-1d86-31f7-aa56-3de20c8e24f8,grand final,4a8c1b69-eaf6-31fb-b071-9594beb0e1c6,Wolves Of The Sea,Jonas Liberg/Johan Sahlen/Claes Andreasson/Torbjorn Wassenius
/participant/charlotte-perrelli,Charlotte Perrelli,Sweden,47,15,18,SVT,Fredrik Kempe & Bobby Ljunggren,3386bb65-1d86-31f7-aa56-3de20c8e24f8,grand final,9a626d34-9249-34bb-a719-92ad659be47c,Hero,Fredrik Kempe
/participant/simon-mathew,Simon Mathew,Denmark,60,16,15,DR,"Jacob Launbjerg, Svend Gudiksen & Nis Bøgvad",3386bb65-1d86-31f7-aa56-3de20c8e24f8,grand final,67e6be6b-f3ea-328e-96f3-4ee0275de86a,All Night Long,"Jacob Launbjerg, Svend Gudiksen & Nis Bøgvad"
/participant/diana-gurtskaya,Diana Gurtskaya,Georgia,83,17,11,GPB,Kim Breitburg,3386bb65-1d86-31f7-aa56-3de20c8e24f8,grand final,0b3d0cb1-66d9-3d61-b9f3-b7c3f9f25a53,Peace Will Come,Karen Kavaleryan
/participant/ani-lorak,Ani Lorak,Ukraine,230,18,2,NTU,Philip Kirkorov,3386bb65-1d86-31f7-aa56-3de20c8e24f8,grand final,8fc722b0-a0f9-3249-a0e6-c01bfef49185,Shady Lady,Karen Kavaleryan
/participant/sebastien-tellier,Sébastien Tellier,France,47,19,19,France 3,Sebastien Tellier,3386bb65-1d86-31f7-aa56-3de20c8e24f8,grand final,9be4141b-6ed7-3368-83f6-5654bedde444,Divine,Sebastien Tellier / Amandine de La Richardière
/participant/elnur-samir,Elnur & Samir,Azerbaijan,132,20,8,İctimai,Govher Hasanzadeh,3386bb65-1d86-31f7-aa56-3de20c8e24f8,grand final,42aec441-f59a-3214-9e54-4263ba538f48,Day After Day,Zahra Badalbeyli
/participant/kalomira,Kalomira,Greece,218,21,3,ERT,Konstantinos Pantzis,3386bb65-1d86-31f7-aa56-3de20c8e24f8,grand final,84f9a717-43c5-3237-9466-905fc814d3a9,Secret Combination,Poseidon Yannopoulos
/participant/rodolfo-chikilicuatre,Rodolfo Chikilicuatre,Spain,55,22,16,TVE,Rodolfo Chikilicuatre and friends,3386bb65-1d86-31f7-aa56-3de20c8e24f8,grand final,ef38e131-4538-36bc-a362-5080642f37d0,Baila El Chiki Chiki,Rodolfo Chikilicuatre and friends
/participant/jelena-tomasevic-feat-bora-dugic,Jelena Tomašević feat. Bora Dugic,Serbia,160,23,6,RTS,Željko Joksimović,3386bb65-1d86-31f7-aa56-3de20c8e24f8,grand final,5307c735-18cd-35e4-bdab-bbf5dad3f214,Oro,Dejan Ivanović
/participant/dima-bilan-1,Dima Bilan,Russia,272,24,1,RTR,Dima Bilan & Jim Beanz,3386bb65-1d86-31f7-aa56-3de20c8e24f8,grand final,26d83fd2-8420-30cc-b0b3-57172b68b17b,Believe,Dima Bilan & Jim Beanz
/participant/maria,Maria,Norway,182,25,5,NRK,Mira Craig,3386bb65-1d86-31f7-aa56-3de20c8e24f8,grand final,f0dff69a-ddcf-375c-97f4-ef816524b349,Hold On Be Strong,Mira Craig
